state;value
2097280 768 ;1.641728
16513 262 ;1.488
16513 258 ;1.7216
2097281 16642 ;1.75516672
14680197 4398046527754 ;1.2000000000000002
14680197 4398046527770 ;1.0
6291589 4398046527754 ;1.2800000000000002
6291589 16650 ;1.3120000000000003
2097285 16650 ;1.3248000000000002
2097285 16642 ;1.3299200000000002
2097285 49410 ;-1.5872000000000002
2162821 49410 ;-1.2000000000000002
2162821 4243714 ;-1.0
6291589 114946 ;-1.2800000000000002
4398052802693 114946 ;-1.2000000000000002
4398052802693 246018 ;-1.0
6422661 114954 ;1.3120000000000003
14811269 268550410 ;1.2000000000000002
31588485 268550410 ;1.0
14811269 114954 ;1.2800000000000002
14811269 16892170 ;1.7408000000000001
34374549669 16892186 ;1.2000000000000002
34374549669 16892698 ;1.0
34374549637 16892186 ;1.568
34374549637 16892170 ;1.6896
14811781 285327626 ;1.3120000000000003
34374550149 285328650 ;1.2000000000000002
34911421061 285328650 ;1.0
34374550149 285327626 ;1.2800000000000002
551682693 34645065994 ;1.3120000000000003
551683717 34645066010 ;1.2000000000000002
551685765 34645066010 ;1.0
551683717 34645065994 ;1.2800000000000002
551683717 34645068042 ;1.3120000000000003
69271160453 4432691579146 ;1.2000000000000002
8865364182661 4432691579146 ;1.0
69271160453 34645068042 ;1.2800000000000002
4398598194821 34678622474 ;1.3120000000000003
4398598456965 34678622490 ;1.2000000000000002
4398665565829 34678622490 ;1.0
4398598456965 34678622474 ;1.2800000000000002
4398665303685 34678884618 ;-1.2800000000000002
4467384780421 34678884618 ;-1.2000000000000002
4467384780421 34678884634 ;-1.0
4398665303701 34678888714 ;-1.2800000000000002
4398665303733 34678888714 ;-1.2000000000000002
4398665303733 35752630538 ;-1.0
4399739045525 36826372362 ;-1.2800000000000002
4468458522261 36826372362 ;-1.2000000000000002
4468458522261 41121339658 ;-1.0
4404034012821 105545849098 ;1.3299200000000002
4541472966325 8901639395594 ;1.2000000000000002
22133659010741 8901639395594 ;1.0
4541472966325 105546373386 ;1.2800000000000002
4541472966293 105546373386 ;1.3120000000000003
4541472966293 105545849098 ;1.3248000000000002
13200127035029 105546373386 ;-1.2800000000000002
13208716969621 105546373386 ;-1.2000000000000002
13208716969621 242985326858 ;-1.0
13337565988501 17697732417802 ;1.2000000000000002
48521938077333 17697732417802 ;1.0
128 1 ;1.9378088161948943
2113664 4194307 ;1.2000000000000002
270549120 4194307 ;1.0
2113664 3 ;0.6286847999999998
2097280 3 ;-0.9962240000000004
2097280 1 ;1.8441605966954757
268435584 2097153 ;-0.814540225263436
268435586 538968065 ;-1.2000000000000002
272629890 538968065 ;-1.0
268435586 2097153 ;-1.2800000000000002
272629888 2097409 ;-1.3299200000000002
817889408 2114305 ;-1.2000000000000002
817890432 2114305 ;-1.0
817889408 2113793 ;-1.2800000000000002
281018496 2113793 ;-1.3120000000000003
281018496 2097409 ;-1.3248000000000002
272630400 2097411 ;1.3248000000000002
272646788 4398048608515 ;1.2000000000000002
272646788 4398048641283 ;1.0
272630404 4398048608515 ;1.2800000000000002
272630404 2097411 ;1.3120000000000003
272646784 2097415 ;-1.2800000000000002
281035392 2097415 ;-1.2000000000000002
281035392 2097423 ;-1.0
272646792 2130183 ;1.3120000000000003
272712328 2130199 ;1.2000000000000002
272713352 2130199 ;1.0
272712328 2130183 ;1.2800000000000002
272647816 10518791 ;1.2000000000000002
272713352 10518791 ;1.0
268435457 536887296 ;1.0848
268435459 536887296 ;1.1299199999999998
268435457 16384 ;1.3495724588337727
268435456 16384 ;1.7466514968564204
268435456 0 ;-1.551454977114758
1 4398046511104 ;1.8673175528708714
2113537 4398314946562 ;1.498624
2113537 4398314946560 ;1.7486711476715522
2097153 4398314946560 ;-0.9077872476160003
2097153 4398046511104 ;1.734743983712423
129 4398046511360 ;1.3120000000000003
16513 4398046544128 ;1.2000000000000002
2113665 4398046544128 ;1.0
16513 4398046511360 ;1.2800000000000002
2097281 4398046511362 ;1.2000000000000002
2113665 4398046511362 ;1.0
538968064 4398314946560 ;-1.2000000000000002
538968192 4398314946560 ;-1.0
538968064 268435456 ;-1.5859200000000002
2097152 268435456 ;1.420043959981405
128 34359738368 ;1.967368717967245
129 4432406249472 ;1.8650151982470267
68719476865 4432406249472 ;-1.0
129 34359738368 ;1.7789300162010993
68719476864 34628173824 ;1.3299200000000002
68721590400 4432674685184 ;1.2000000000000002
68721590401 4432674685184 ;1.0
68721590400 4432674684928 ;1.2800000000000002
68721574016 4432674684928 ;1.3120000000000003
68721574016 34628173824 ;1.3248000000000002
